Id,Name,Genre,Platform,Publisher,Critic_Score,Year,RAWG Score,Description
3,Call of Duty,Shooter,PC,Activision,7.0,2003.0,4.2,"Call of Duty is a World War II first-person shooter developed by Infinity Ward. It is the first game in the series by the same name. 
<h3>Plot</h3>
During the game&#39;s singleplayer campaign, the players take control of three soldiers from different armies: Joey Martin from the U.S. military, sergeant Evans from the British SAS, and Alexei Ivanovich Voronin from the Red Army. The game&#39;s plot follows their path from boot camp to the Battle of Berlin. There are 26 missions present in the game.
<h3>Gameplay</h3>
Call of Duty features both singleplayer and multiplayer modes. During the singleplayer campaign, a briefing is held or a slide-show with commentary before every mission. In order to complete a level, the player has to complete several objectives in a chronological order. There are four difficulty levels in Call of Duty, they differ in the amount of damage the player can sustain. There is no health regeneration system present in the game. A health pack system is used instead.
The players can carry two main weapons, one pistol, and 10 grenades. The players can melee any enemy they encounter in the game.
<h3>Multiplayer</h3>
At the beginning of the match, the players choose one of four sides: the U.S. Army, the British forces, the Vermacht, and the Red Army. 
There are 4 game modes present in Call of Duty: Deathmatch, Team Deathmatch, Domination and Search and Destroy.
The game&#39;s maps are renditions of the real battlefields, such as Sainte-Mere-Eglise, the shores of Normandy, Berlin, and Stalingrad."
4,Minecraft,Misc,PC,Mojang,10.0,2010.0,4.34,"One of the most popular games of the 2010s, Minecraft allows you to rebuild the environment around you. The world of the game is open, infinitely wide, and procedurally generated. It is composed of small 3D cubes that represent specific types of materials or terrain. The gameplay is centered on mining and building various structures of your choice. You can also craft items like tools, weapons, and armor. There&#39;s an option to shift to the first or the third person view.<br />
Minecraft includes multiple modes that dramatically change the focus of the game. Survival and Adventure modes require the player to gather resources, hunt for food and fight monsters to survive. In the Hardcore mode, there’s even permanent death. Creative mode, by contrast, offers you to freely explore the world and construct whatever you want with unlimited resources. There’s also a multiplayer mode that allows the players to share their worlds and engage in the traditional MMO activities, such as player-vs-player combat.<br />
Minecraft’s crude visual style, reminiscent of Lego cubes, became an iconic part of the popular culture. There are many myths and fan fiction surrounding the game, such as the legend of Herobrine, a rumored character that officially doesn’t exist."
5,Assassin's Creed,Action,X360,Ubisoft,8.2,2007.0,3.85,"The game takes place in 1191. In the present time, 2012, bartender Desmond Miles, the main character, kidnapped by the Corporation &quot;Abstergo industries&quot;, which with the help of a machine called &quot;Animus&quot; wants to find an artefact. He learns that he is a descendant of the assassin Altair, who discovered this artefact. They need Desmond to know the location of the treasure through him.
The game belongs to the category of open world projects. It means that the world can be explored by the player in a free manner there. All the game space is a simplified model of the Holy Land. The area is divided into seven main sections. 
The player will have to climb on a lot of different buildings and towers. The architecture of the cities in Assassin&#39;s Creed is specially designed so that Altair can jump on any roof. Throughout the game, these skills will not just be used to perform additional tasks.
An essential part of the game is the investigation and the associated need to merge with the crowd. Each time, getting to the big city, Altair has to look around properly and find the office of assassins. The head of the Bureau will tell him about his future victim and will bring to some people who have useful information."
6,Resident Evil,Action,PS,Capcom,8.6,1996.0,4.31,"Resident Evil is a survival horror video game developed by Capcom Production Studio 4 and published by Capcom. Released for the GameCube video game console in 2002, it is a remake of the 1996 PlayStation game Resident Evil, the first installment in the Resident Evil video game series. The story takes place in 1998 near the fictional Midwestern town of Raccoon City where a series of bizarre murders have taken place. The player takes on the role of either Chris Redfield or Jill Valentine, S.T.A.R.S. agents sent in by the city to investigate the murders."
7,NBA 2K,Sports,DC,Sega,8.9,1999.0,0.0,"The NBA 2K series is a series of basketball simulation video games developed and released annually since 1999. The premise of each game in the series is to emulate the sport of basketball, more specifically, the National Basketball Association, and present improvements over the previous installments. The series was originally published by Sega, under the label Sega Sports, and is now published by 2K Sports. All of the games in the franchise have been developed by Visual Concepts. The series consists of eighteen main installments and several spinoff-style titles. It has seen releases on eighteen different platforms. The NBA 2K series has also been used in eSports. The series has consistently achieved critical and commercial success."
8,Wii Sports,Sports,Wii,Nintendo,7.7,2006.0,4.21,"This is what video games should be: fun for everyone. Wii Sports offers<br />
five distinct sports experiences, each using the Wii Remote controller<br />
to provide a natural, intuitive and realistic feel. To play a Wii Sports<br />
game, all you need to do is pick up a controller and get ready for the<br />
pitch, serve or that right hook. If you&#39;ve played any of these sports<br />
before, you&#39;re ready for fun!<br />
Wii Sports is part of the Nintendo<br />
Selects family of games—great titles enjoyed by millions, now a great<br />
value at just $19.99 MSRP* each.
Features
Play Tennis, Baseball, Golf, Bowling and Boxing in the comfort of<br />
one&#39;s living room. No ball boys scurrying about, no oil from the<br />
alleys to get players dirty and no rain to keep anyone from a day at<br />
the court, park or course. Use the Wii Remote controller to mimic the<br />
actions of swinging a racket, bat or club, roll a ball down an alley<br />
or bring the left jab.
Players can use their own Mii caricatures in the game and play them<br />
against their friends&#39; Miis for a more personalized experience. As<br />
players improve, their Miis&#39; skill levels will increase, so that they<br />
can see exactly how much better they&#39;ve become.
People of all skill levels can pick up and play any of the games in<br />
the unprecedented Wii Sports package, making this truly a title for<br />
everyone!
*MSRP: Manufacturer’s Suggested Retail Price. Actual price may vary. See<br />
retailer for details."
9,Gran Turismo,Racing,PS,Sony Computer Entertainment,9.5,1998.0,4.4,"Gran Turismo is a sim racing video game designed by Kazunori Yamauchi. Gran Turismo was developed by Polys Entertainment and published by Sony Computer Entertainment in 1997 for the PlayStation video game console. The game's development group was established as Polyphony Digital in 1998.
After five years of development time, it was well-received publicly and critically, shipping a total of 10.85 million copies worldwide as of March 2013 (making it the best-selling PlayStation game), and scoring an average of 95% in GameRankings' aggregate, making it the highest rated racing video game of all-time. Many publications have deemed it one of the greatest video games of all time. The game has started a series, and has spawned over 10 spin-offs and sequels."
13,Borderlands,Shooter,X360,2K Games,8.3,2009.0,3.87,"Pandora is a dangerous planet, so it makes sense that the strongest people will dominate it. 4 Vault Hunters arrive to find the legendary Vault found themselves at the Fyrestone, where mysterious girl only known as Angel guides them, helping to build the reputation of problem solvers. Eventually, players will be tasked to find the first piece, of the Vault Key.<br />
By being a story-driven first-person shooter with RPG elements, Borderlands allows adjusting the playstyle by finding different weapons, leveling up the character and improving some skills or attributes. Cooperative in nature, Borderlands can be played with up to 3 other players in total, where players can take the roles of 4 different characters: Brick the Berserker, Mordecai the Hunter, Lilith the Siren and Roland the Soldier. Some characters are naturally proficient in specific weapons, but players are not constricted to the skill requirements. When a specific weapon type is used often – the more proficient players are. Borderlands have several story DLCs that either shift the tone of the main game or expand on the existing storyline and characters."
14,Far Cry,Shooter,PC,Ubisoft,8.6,2004.0,3.92,"The game that started the popular Far Cry series. The player assumes the role of Jack Carver, a former special forces operative who became a ferryman. The protagonist was hired by a journalist Valerie Constantine to escort her to a remote Pacific island. Soon after they arrived, the boat was attacked, and Valerie went missing. Now Carver is stranded on an archipelago covered by tropical rainforests, which are hiding an abandoned Japanese warship, a secret lab, and an active volcano. On a search for Valerie, he will fight a gang of mercenaries and discover the monstrous experiments that are carried out on this islands. <br />
Carver eventually gains access to a variety of firearms. He’s also equipped with binoculars that allow him to see and even hear the enemies from far away. Stealth and detection are the central aspects of the Far Cry gameplay. The lush vegetation in the jungle offers perfect cover, so both Carver and his opponents can hide and sneak behind each other’s backs. The design and huge size of levels allow for a variety of routes and approaches to complete each mission, with use of stealth, surprise attacks, sniping, or another tactic of your choice."
18,Super Mario Bros.,Platform,NES,Nintendo,10.0,1985.0,4.27,"Mario and Luigi star in their first ever Mushroom Kingdom adventure! Find out why Super Mario Bros. is instantly recognizable to millions of people across the globe, and what made it the best-selling game in the world for three decades straight. Jump over obstacles, grab coins, kick shells, and throw fireballs through eight action-packed worlds in this iconic NES classic. Only you and the Mario Bros. can rescue Princess Toadstool from the clutches of the evil Bowser. 
For more than 25 years, the Super Mario series has conquered the charts and won the hearts of fans the world over. Now you can discover - or rediscover - the original game that made Mario a household name.
Run and jump with Mario or Luigi through caves and castles, down pipes and across platforms, and face off against Bowser to rescue your beloved Princess Peach.
It may be more than a quarter of a century old, but Super Mario Bros. is still as enchanting as ever!"
